CityID,CityName,CityName2,Latitude,Longitude
C1,서울,서울특별시,37.5666103,126.9783882
C10,강원,강원도,37.8603672,128.3115261
C11,충북,충청북도,36.7853718,127.6551404
C12,충남,충청남도,36.6173379,126.8453965
C13,전북,전라북도,35.6910153,127.2368291
C14,전남,전라남도,34.9007274,126.9571667
C15,경북,경상북도,36.6308397,128.962578
C16,경남,경상남도,35.4414209,128.2417453
C17,제주,제주특별자치도,33.4273366,126.5758344
C2,부산,부산광역시,35.179816,129.0750223
C3,대구,대구광역시,35.87139,128.601763
C4,인천,인천광역시,37.4559418,126.7051505
C5,광주,광주광역시,35.160032,126.851338
C6,대전,대전광역시,36.3504396,127.3849508
C7,울산,울산광역시,35.5394773,129.3112994
C8,세종,세종특별자치시,36.4803512,127.2894325
C9,경기,경기도,37.4363177,127.550802
