연도,월,순위,브랜드,판매량,비율,로고 이미지 링크
2021,1,1,현대,"48,004",41.3%,https://autoimg.danawa.com/photo/brand/303_40.png
2021,1,2,기아,"41,481",35.7%,https://autoimg.danawa.com/photo/brand/307_40.png
2021,1,3,제네시스,"11,497",9.9%,https://autoimg.danawa.com/photo/brand/304_40.png
2021,1,4,쉐보레,"6,106",5.3%,https://autoimg.danawa.com/photo/brand/312_40.png
2021,1,5,KGM,"5,648",4.9%,https://autoimg.danawa.com/photo/brand/326_40.png
2021,1,6,르노코리아,"3,534",3.0%,https://autoimg.danawa.com/photo/brand/321_40.png
2021,2,1,현대,"44,781",44.2%,https://autoimg.danawa.com/photo/brand/303_40.png
2021,2,2,기아,"37,583",37.1%,https://autoimg.danawa.com/photo/brand/307_40.png
2021,2,3,제네시스,"7,321",7.2%,https://autoimg.danawa.com/photo/brand/304_40.png
2021,2,4,쉐보레,"5,098",5.0%,https://autoimg.danawa.com/photo/brand/312_40.png
2021,2,5,르노코리아,"3,900",3.8%,https://autoimg.danawa.com/photo/brand/321_40.png
2021,2,6,KGM,"2,673",2.6%,https://autoimg.danawa.com/photo/brand/326_40.png
2021,3,1,현대,"59,744",42.4%,https://autoimg.danawa.com/photo/brand/303_40.png
2021,3,2,기아,"51,011",36.2%,https://autoimg.danawa.com/photo/brand/307_40.png
2021,3,3,제네시스,"14,066",10.0%,https://autoimg.danawa.com/photo/brand/304_40.png
2021,3,4,쉐보레,"6,149",4.4%,https://autoimg.danawa.com/photo/brand/312_40.png
2021,3,5,르노코리아,"5,695",4.0%,https://autoimg.danawa.com/photo/brand/321_40.png
2021,3,6,KGM,"4,306",3.1%,https://autoimg.danawa.com/photo/brand/326_40.png
2021,4,1,현대,"56,329",41.5%,https://autoimg.danawa.com/photo/brand/303_40.png
2021,4,2,기아,"51,128",37.7%,https://autoimg.danawa.com/photo/brand/307_40.png
2021,4,3,제네시스,"13,890",10.2%,https://autoimg.danawa.com/photo/brand/304_40.png
2021,4,4,쉐보레,"5,470",4.0%,https://autoimg.danawa.com/photo/brand/312_40.png
2021,4,5,르노코리아,"5,466",4.0%,https://autoimg.danawa.com/photo/brand/321_40.png
2021,4,6,KGM,"3,318",2.4%,https://autoimg.danawa.com/photo/brand/326_40.png
2021,5,1,현대,"49,025",39.5%,https://autoimg.danawa.com/photo/brand/303_40.png
2021,5,2,기아,"47,901",38.6%,https://autoimg.danawa.com/photo/brand/307_40.png
2021,5,3,제네시스,"13,031",10.5%,https://autoimg.danawa.com/photo/brand/304_40.png
2021,5,4,KGM,"4,956",4.0%,https://autoimg.danawa.com/photo/brand/326_40.png
2021,5,5,르노코리아,"4,635",3.7%,https://autoimg.danawa.com/photo/brand/321_40.png
