연도,지역,지역ID,등록대수
2012,서울,C1,270
2012,부산,C2,118
2012,대구,C3,101
2012,인천,C4,105
2012,광주,C5,55
2012,대전,C6,60
2012,울산,C7,47
2012,세종,C8,5
2012,경기,C9,440
2012,강원,C10,63
2012,충북,C11,65
2012,충남,C12,86
2012,전북,C13,76
2012,전남,C14,77
2012,경북,C15,117
2012,경남,C16,147
2012,제주,C17,29
2013,서울,C1,297
2013,부산,C2,118
2013,대구,C3,104
2013,인천,C4,114
2013,광주,C5,57
2013,대전,C6,61
2013,울산,C7,49
2013,세종,C8,5
2013,경기,C9,453
2013,강원,C10,65
2013,충북,C11,67
2013,충남,C12,89
2013,전북,C13,78
2013,전남,C14,80
2013,경북,C15,121
2013,경남,C16,149
2013,제주,C17,33
2014,서울,C1,301
2014,부산,C2,121
2014,대구,C3,107
2014,인천,C4,125
2014,광주,C5,59
2014,대전,C6,62
2014,울산,C7,51
2014,세종,C8,7
2014,경기,C9,470
2014,강원,C10,67
2014,충북,C11,70
2014,충남,C12,93
2014,전북,C13,81
2014,전남,C14,84
2014,경북,C15,126
2014,경남,C16,151
2014,제주,C17,38
2015,서울,C1,306
2015,부산,C2,126
2015,대구,C3,111
2015,인천,C4,136
2015,광주,C5,61
2015,대전,C6,63
2015,울산,C7,53
2015,세종,C8,9
2015,경기,C9,492
2015,강원,C10,69
2015,충북,C11,73
2015,충남,C12,97
2015,전북,C13,84
2015,전남,C14,90
2015,경북,C15,131
2015,경남,C16,156
2015,제주,C17,44
2016,서울,C1,308
2016,부산,C2,130
2016,대구,C3,113
2016,인천,C4,144
2016,광주,C5,63
2016,대전,C6,65
2016,울산,C7,54
2016,세종,C8,11
2016,경기,C9,516
2016,강원,C10,72
2016,충북,C11,76
2016,충남,C12,102
2016,전북,C13,87
2016,전남,C14,95
2016,경북,C15,135
2016,경남,C16,163
2016,제주,C17,47
2017,서울,C1,312
2017,부산,C2,133
2017,대구,C3,116
2017,인천,C4,151
2017,광주,C5,65
2017,대전,C6,66
2017,울산,C7,55
2017,세종,C8,13
2017,경기,C9,539
2017,강원,C10,75
2017,충북,C11,79
2017,충남,C12,106
2017,전북,C13,89
2017,전남,C14,99
2017,경북,C15,139
2017,경남,C16,167
2017,제주,C17,50
2018,서울,C1,313
2018,부산,C2,137
2018,대구,C3,118
2018,인천,C4,158
2018,광주,C5,66
2018,대전,C6,67
2018,울산,C7,56
2018,세종,C8,15
2018,경기,C9,562
2018,강원,C10,77
2018,충북,C11,82
2018,충남,C12,109
2018,전북,C13,92
2018,전남,C14,103
2018,경북,C15,142
2018,경남,C16,169
2018,제주,C17,55
2019,서울,C1,312
2019,부산,C2,140
2019,대구,C3,119
2019,인천,C4,164
2019,광주,C5,68
2019,대전,C6,67
2019,울산,C7,57
2019,세종,C8,16
2019,경기,C9,577
2019,강원,C10,78
2019,충북,C11,84
2019,충남,C12,112
2019,전북,C13,93
2019,전남,C14,106
2019,경북,C15,145
2019,경남,C16,172
2019,제주,C17,60
2020,서울,C1,316
2020,부산,C2,143
2020,대구,C3,122
2020,인천,C4,168
2020,광주,C5,69
2020,대전,C6,69
2020,울산,C7,58
2020,세종,C8,18
2020,경기,C9,600
2020,강원,C10,81
2020,충북,C11,87
2020,충남,C12,115
2020,전북,C13,95
2020,전남,C14,110
2020,경북,C15,148
2020,경남,C16,179
2020,제주,C17,62
2021,서울,C1,318
2021,부산,C2,147
2021,대구,C3,121
2021,인천,C4,168
2021,광주,C5,70
2021,대전,C6,69
2021,울산,C7,58
2021,세종,C8,19
2021,경기,C9,621
2021,강원,C10,83
2021,충북,C11,89
2021,충남,C12,118
2021,전북,C13,96
2021,전남,C14,117
2021,경북,C15,150
2021,경남,C16,183
2021,제주,C17,66
2022,서울,C1,319
2022,부산,C2,150
2022,대구,C3,123
2022,인천,C4,169
2022,광주,C5,71
2022,대전,C6,71
2022,울산,C7,59
2022,세종,C8,19
2022,경기,C9,638
2022,강원,C10,85
2022,충북,C11,92
2022,충남,C12,121
2022,전북,C13,98
2022,전남,C14,124
2022,경북,C15,152
2022,경남,C16,190
2022,제주,C17,69
