지역ID,지역명
C1,서울
C2,부산
C3,대구
C4,인천
C5,광주
C6,대전
C7,울산
C8,세종
C9,경기
C10,강원
C11,충북
C12,충남
C13,전북
C14,전남
C15,경북
C16,경남
C17,제주
TOTAL,합계
