연도,월,순위,브랜드,판매량,비율,로고 이미지 링크
2021,1,1,벤츠,"5,918",28.0%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,1,2,BMW,"5,717",27.0%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,1,3,아우디,"2,302",10.9%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,1,4,폭스바겐,"1,236",5.8%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,1,5,볼보,"1,198",5.7%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,1,6,미니,712,3.4%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,1,7,포르쉐,681,3.2%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,1,8,지프,668,3.2%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,1,9,링컨,486,2.3%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,1,10,렉서스,443,2.1%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,1,11,포드,442,2.1%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,1,12,토요타,400,1.9%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,1,13,랜드로버,358,1.7%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,1,14,혼다,192,0.9%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,1,15,캐딜락,88,0.4%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,1,16,푸조,83,0.4%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,1,17,재규어,63,0.3%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,1,18,마세라티,44,0.2%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,1,19,벤틀리,25,0.1%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,1,20,시트로엥,24,0.1%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,1,21,롤스로이스,19,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,1,22,람보르기니,19,0.1%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,1,23,테슬라,16,0.1%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,1,24,DS,8,0.0%,https://autoimg.danawa.com/photo/brand/618_40.png
2021,2,1,벤츠,"5,707",26.4%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,2,2,BMW,"5,660",26.2%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,2,3,아우디,"2,362",10.9%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,2,4,폭스바겐,"1,783",8.3%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,2,5,볼보,"1,202",5.6%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,2,6,포르쉐,912,4.2%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,2,7,미니,895,4.1%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,2,8,렉서스,677,3.1%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,2,9,지프,457,2.1%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,2,10,토요타,414,1.9%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,2,11,포드,339,1.6%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,2,12,랜드로버,296,1.4%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,2,13,링컨,294,1.4%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,2,14,혼다,220,1.0%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,2,15,푸조,71,0.3%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,2,16,마세라티,65,0.3%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,2,17,캐딜락,63,0.3%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,2,18,재규어,56,0.3%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,2,19,람보르기니,31,0.1%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,2,20,롤스로이스,22,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,2,21,테슬라,20,0.1%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,2,22,시트로엥,16,0.1%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,2,23,벤틀리,10,0.0%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,2,24,DS,10,0.0%,https://autoimg.danawa.com/photo/brand/618_40.png
