연도,월,순위,브랜드,판매량,비율,로고 이미지 링크
2021,3,1,벤츠,"7,597",25.5%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,3,2,BMW,"6,012",20.2%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,3,3,테슬라,"3,194",10.7%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,3,4,아우디,"2,737",9.2%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,3,5,폭스바겐,"1,628",5.5%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,3,6,지프,"1,557",5.2%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,3,7,볼보,"1,251",4.2%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,3,8,미니,"1,224",4.1%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,3,9,포르쉐,980,3.3%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,3,10,렉서스,860,2.9%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,3,11,포드,557,1.9%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,3,12,토요타,544,1.8%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,3,13,링컨,349,1.2%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,3,14,혼다,333,1.1%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,3,15,랜드로버,292,1.0%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,3,16,푸조,279,0.9%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,3,17,캐딜락,124,0.4%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,3,18,마세라티,81,0.3%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,3,19,재규어,54,0.2%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,3,20,람보르기니,31,0.1%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,3,21,시트로엥,26,0.1%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,3,22,벤틀리,20,0.1%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,3,23,DS,16,0.1%,https://autoimg.danawa.com/photo/brand/618_40.png
2021,3,24,롤스로이스,12,0.0%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,4,1,벤츠,"8,430",33.8%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,4,2,BMW,"6,113",24.5%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,4,3,아우디,"1,320",5.3%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,4,4,볼보,"1,263",5.1%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,4,5,폭스바겐,"1,080",4.3%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,4,6,미니,"1,051",4.2%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,4,7,지프,"1,001",4.0%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,4,8,포르쉐,978,3.9%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,4,9,포드,902,3.6%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,4,10,렉서스,826,3.3%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,4,11,토요타,523,2.1%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,4,12,링컨,447,1.8%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,4,13,혼다,235,0.9%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,4,14,푸조,221,0.9%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,4,15,랜드로버,119,0.5%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,4,16,캐딜락,76,0.3%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,4,17,테슬라,76,0.3%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,4,18,마세라티,74,0.3%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,4,19,시트로엥,37,0.1%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,4,20,람보르기니,37,0.1%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,4,21,벤틀리,36,0.1%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,4,22,재규어,28,0.1%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,4,23,롤스로이스,24,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,4,24,DS,20,0.1%,https://autoimg.danawa.com/photo/brand/618_40.png
2021,5,1,벤츠,"7,690",28.6%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,5,2,BMW,"6,257",23.3%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,5,3,테슬라,"3,461",12.9%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,5,4,폭스바겐,"1,358",5.0%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,5,5,볼보,"1,264",4.7%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,5,6,지프,"1,110",4.1%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,5,7,미니,"1,095",4.1%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,5,8,렉서스,"1,007",3.7%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,5,9,포르쉐,847,3.1%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,5,10,포드,655,2.4%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,5,11,토요타,626,2.3%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,5,12,혼다,402,1.5%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,5,13,링컨,312,1.2%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,5,14,아우디,229,0.9%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,5,15,푸조,194,0.7%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,5,16,랜드로버,97,0.4%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,5,17,캐딜락,74,0.3%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,5,18,마세라티,65,0.2%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,5,19,벤틀리,56,0.2%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,5,20,람보르기니,32,0.1%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,5,21,시트로엥,26,0.1%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,5,22,롤스로이스,23,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,5,23,재규어,8,0.0%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,5,24,DS,8,0.0%,https://autoimg.danawa.com/photo/brand/618_40.png
2021,6,1,벤츠,"6,828",22.6%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,6,2,BMW,"6,502",21.5%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,6,3,테슬라,"4,860",16.1%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,6,4,아우디,"1,848",6.1%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,6,5,폭스바겐,"1,667",5.5%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,6,6,볼보,"1,451",4.8%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,6,7,미니,"1,197",4.0%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,6,8,지프,"1,134",3.7%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,6,9,렉서스,"1,055",3.5%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,6,10,포르쉐,967,3.2%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,6,11,토요타,710,2.3%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,6,12,포드,689,2.3%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,6,13,혼다,305,1.0%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,6,14,랜드로버,258,0.9%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,6,15,링컨,237,0.8%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,6,16,푸조,228,0.8%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,6,17,캐딜락,77,0.3%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,6,18,마세라티,76,0.3%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,6,19,벤틀리,61,0.2%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,6,20,람보르기니,30,0.1%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,6,21,재규어,24,0.1%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,6,22,롤스로이스,24,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,6,23,시트로엥,19,0.1%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,6,24,DS,15,0.0%,https://autoimg.danawa.com/photo/brand/618_40.png
2021,7,1,벤츠,"7,083",29.9%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,7,2,BMW,"6,022",25.5%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,7,3,아우디,"2,632",11.1%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,7,4,볼보,"1,153",4.9%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,7,5,렉서스,"1,027",4.3%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,7,6,지프,"1,003",4.2%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,7,7,폭스바겐,941,4.0%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,7,8,미니,870,3.7%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,7,9,포르쉐,699,3.0%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,7,10,토요타,691,2.9%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,7,11,혼다,327,1.4%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,7,12,포드,300,1.3%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,7,13,랜드로버,239,1.0%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,7,14,푸조,171,0.7%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,7,15,링컨,164,0.7%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,7,16,캐딜락,78,0.3%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,7,17,마세라티,62,0.3%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,7,18,벤틀리,47,0.2%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,7,19,시트로엥,37,0.2%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,7,20,람보르기니,34,0.1%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,7,21,테슬라,22,0.1%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,7,22,DS,20,0.1%,https://autoimg.danawa.com/photo/brand/618_40.png
2021,7,23,롤스로이스,20,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,7,24,재규어,14,0.1%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,8,1,벤츠,"6,734",28.5%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,8,2,BMW,"5,214",22.1%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,8,3,테슬라,"2,431",10.3%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,8,4,아우디,"1,341",5.7%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,8,5,폭스바겐,"1,305",5.5%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,8,6,볼보,"1,152",4.9%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,8,7,미니,969,4.1%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,8,8,렉서스,933,4.0%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,8,9,포르쉐,657,2.8%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,8,10,혼다,518,2.2%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,8,11,토요타,467,2.0%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,8,12,지프,428,1.8%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,8,13,포드,326,1.4%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,8,14,랜드로버,284,1.2%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,8,15,링컨,249,1.1%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,8,16,푸조,203,0.9%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,8,17,캐딜락,132,0.6%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,8,18,마세라티,80,0.3%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,8,19,벤틀리,53,0.2%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,8,20,람보르기니,36,0.2%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,8,21,시트로엥,30,0.1%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,8,22,DS,23,0.1%,https://autoimg.danawa.com/photo/brand/618_40.png
2021,8,23,재규어,19,0.1%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,8,24,롤스로이스,17,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,9,1,벤츠,"6,245",28.9%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,9,2,BMW,"4,944",22.9%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,9,3,테슬라,"2,206",10.2%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,9,4,볼보,"1,259",5.8%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,9,5,아우디,"1,150",5.3%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,9,6,미니,961,4.5%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,9,7,폭스바겐,817,3.8%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,9,8,렉서스,644,3.0%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,9,9,지프,592,2.7%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,9,10,혼다,513,2.4%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,9,11,포르쉐,490,2.3%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,9,12,토요타,436,2.0%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,9,13,포드,296,1.4%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,9,14,랜드로버,286,1.3%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,9,15,푸조,217,1.0%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,9,16,링컨,164,0.8%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,9,17,캐딜락,100,0.5%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,9,18,벤틀리,65,0.3%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,9,19,시트로엥,54,0.3%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,9,20,마세라티,50,0.2%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,9,21,람보르기니,34,0.2%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,9,22,DS,31,0.1%,https://autoimg.danawa.com/photo/brand/618_40.png
2021,9,23,롤스로이스,20,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,9,24,재규어,16,0.1%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,10,1,BMW,"4,824",26.5%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,10,2,벤츠,"3,623",19.9%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,10,3,아우디,"2,639",14.5%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,10,4,볼보,"1,125",6.2%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,10,5,지프,750,4.1%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,10,6,폭스바겐,719,4.0%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,10,7,미니,701,3.9%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,10,8,렉서스,656,3.6%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,10,9,혼다,526,2.9%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,10,10,토요타,521,2.9%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,10,11,포르쉐,512,2.8%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,10,12,포드,502,2.8%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,10,13,랜드로버,327,1.8%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,10,14,푸조,250,1.4%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,10,15,링컨,195,1.1%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,10,16,캐딜락,92,0.5%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,10,17,시트로엥,60,0.3%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,10,18,마세라티,57,0.3%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,10,19,DS,44,0.2%,https://autoimg.danawa.com/photo/brand/618_40.png
2021,10,20,람보르기니,33,0.2%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,10,21,벤틀리,17,0.1%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,10,22,롤스로이스,12,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,10,23,재규어,7,0.0%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,10,24,테슬라,3,0.0%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,11,1,BMW,"4,171",21.0%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,11,2,벤츠,"3,545",17.8%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,11,3,아우디,"2,682",13.5%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,11,4,테슬라,"1,527",7.7%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,11,5,볼보,"1,317",6.6%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,11,6,폭스바겐,910,4.6%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,11,7,렉서스,866,4.4%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,11,8,포드,801,4.0%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,11,9,미니,738,3.7%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,11,10,지프,650,3.3%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,11,11,토요타,600,3.0%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,11,12,혼다,484,2.4%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,11,13,포르쉐,444,2.2%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,11,14,랜드로버,351,1.8%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,11,15,링컨,336,1.7%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,11,16,푸조,188,0.9%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,11,17,벤틀리,94,0.5%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,11,18,마세라티,76,0.4%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,11,19,캐딜락,44,0.2%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,11,20,시트로엥,31,0.2%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,11,21,롤스로이스,18,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,11,22,재규어,15,0.1%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,11,23,DS,12,0.1%,https://autoimg.danawa.com/photo/brand/618_40.png
2021,11,24,람보르기니,6,0.0%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,12,1,벤츠,"6,752",28.7%,https://autoimg.danawa.com/photo/brand/349_40.png
2021,12,2,아우디,"4,373",18.6%,https://autoimg.danawa.com/photo/brand/371_40.png
2021,12,3,BMW,"4,233",18.0%,https://autoimg.danawa.com/photo/brand/362_40.png
2021,12,4,볼보,"1,418",6.0%,https://autoimg.danawa.com/photo/brand/459_40.png
2021,12,5,지프,"1,099",4.7%,https://autoimg.danawa.com/photo/brand/587_40.png
2021,12,6,폭스바겐,920,3.9%,https://autoimg.danawa.com/photo/brand/376_40.png
2021,12,7,포드,912,3.9%,https://autoimg.danawa.com/photo/brand/569_40.png
2021,12,8,렉서스,758,3.2%,https://autoimg.danawa.com/photo/brand/486_40.png
2021,12,9,미니,735,3.1%,https://autoimg.danawa.com/photo/brand/367_40.png
2021,12,10,토요타,509,2.2%,https://autoimg.danawa.com/photo/brand/491_40.png
2021,12,11,링컨,394,1.7%,https://autoimg.danawa.com/photo/brand/573_40.png
2021,12,12,랜드로버,313,1.3%,https://autoimg.danawa.com/photo/brand/399_40.png
2021,12,13,혼다,300,1.3%,https://autoimg.danawa.com/photo/brand/500_40.png
2021,12,14,포르쉐,264,1.1%,https://autoimg.danawa.com/photo/brand/381_40.png
2021,12,15,푸조,215,0.9%,https://autoimg.danawa.com/photo/brand/413_40.png
2021,12,16,마세라티,112,0.5%,https://autoimg.danawa.com/photo/brand/445_40.png
2021,12,17,캐딜락,39,0.2%,https://autoimg.danawa.com/photo/brand/546_40.png
2021,12,18,재규어,34,0.1%,https://autoimg.danawa.com/photo/brand/394_40.png
2021,12,19,시트로엥,30,0.1%,https://autoimg.danawa.com/photo/brand/422_40.png
2021,12,20,람보르기니,30,0.1%,https://autoimg.danawa.com/photo/brand/440_40.png
2021,12,21,벤틀리,22,0.1%,https://autoimg.danawa.com/photo/brand/390_40.png
2021,12,22,롤스로이스,14,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2021,12,23,테슬라,10,0.0%,https://autoimg.danawa.com/photo/brand/611_40.png
2021,12,24,DS,6,0.0%,https://autoimg.danawa.com/photo/brand/618_40.png
2022,1,1,BMW,"5,550",32.8%,https://autoimg.danawa.com/photo/brand/362_40.png
2022,1,2,벤츠,"3,405",20.1%,https://autoimg.danawa.com/photo/brand/349_40.png
2022,1,3,아우디,"1,269",7.5%,https://autoimg.danawa.com/photo/brand/371_40.png
2022,1,4,폭스바겐,"1,213",7.2%,https://autoimg.danawa.com/photo/brand/376_40.png
2022,1,5,볼보,"1,004",5.9%,https://autoimg.danawa.com/photo/brand/459_40.png
2022,1,6,미니,819,4.8%,https://autoimg.danawa.com/photo/brand/367_40.png
2022,1,7,포르쉐,677,4.0%,https://autoimg.danawa.com/photo/brand/381_40.png
2022,1,8,포드,605,3.6%,https://autoimg.danawa.com/photo/brand/569_40.png
2022,1,9,렉서스,513,3.0%,https://autoimg.danawa.com/photo/brand/486_40.png
2022,1,10,지프,498,2.9%,https://autoimg.danawa.com/photo/brand/587_40.png
2022,1,11,토요타,304,1.8%,https://autoimg.danawa.com/photo/brand/491_40.png
2022,1,12,혼다,295,1.7%,https://autoimg.danawa.com/photo/brand/500_40.png
2022,1,13,랜드로버,276,1.6%,https://autoimg.danawa.com/photo/brand/399_40.png
2022,1,14,링컨,156,0.9%,https://autoimg.danawa.com/photo/brand/573_40.png
2022,1,15,푸조,110,0.7%,https://autoimg.danawa.com/photo/brand/413_40.png
2022,1,16,마세라티,40,0.2%,https://autoimg.danawa.com/photo/brand/445_40.png
2022,1,17,캐딜락,37,0.2%,https://autoimg.danawa.com/photo/brand/546_40.png
2022,1,18,벤틀리,35,0.2%,https://autoimg.danawa.com/photo/brand/390_40.png
2022,1,19,롤스로이스,23,0.1%,https://autoimg.danawa.com/photo/brand/385_40.png
2022,1,20,폴스타,20,0.1%,https://autoimg.danawa.com/photo/brand/458_40.png
2022,1,21,시트로엥,19,0.1%,https://autoimg.danawa.com/photo/brand/422_40.png
2022,1,22,람보르기니,16,0.1%,https://autoimg.danawa.com/photo/brand/440_40.png
2022,1,23,재규어,15,0.1%,https://autoimg.danawa.com/photo/brand/394_40.png
2022,1,24,DS,7,0.0%,https://autoimg.danawa.com/photo/brand/618_40.png
2022,1,25,테슬라,1,0.0%,https://autoimg.danawa.com/photo/brand/611_40.png
